ID,CharName,Dialogue,EventNo,SkipLine,ShowDeath,Clear,Image,Animation,비고
1,•  피곤한 악마 판데모니카  •,지옥 고객센터의 판데모니카라고 합니다.|무엇을 도와드릴까요?,1,,,,0,,스테이지 1 대화
2,•  피곤한 악마 판데모니카  •,지옥을 살아서 빠져나갈 수 있으리라 생각한 거야? 꿈도 크셔라.,,3,TRUE,,0,,
,,판데모니카는 당신의 얼굴을 손아귀로 가져가더니|전문가다운 부드러운 동작으로 목을 꺾어 버렸다.,,,,,-1,,
3,•  피곤한 악마 판데모니카  •,참 달콤한 제안이에요. 커피를 마시고 싶네요.|피곤해서 정신을 못 차리겠어요.,,,,TRUE,1,,
4,•  위대한 파리 베엘제붑  •,조언을 구하고 싶은 모양이지만 물어볼 이가 없구나.,,,,,0,,스테이지 1 조언
,,아직 귀여운 악마들을 찾질 못 했지.,,,,,0,,
,,그리고 얼마나 귀엽던 간에` 난 해설자일 뿐이지.,,,,,0,,
,,가서 하렘에 어울리는 처자를 찾아서 만족할 만한 조언이나 조르게.,,,,,0,,
5,•  음란한 악마 모데우스  •,너랑 나랑. 지금 바로.,2,,,,0,,스테이지 2 대화
6,•  음란한 악마 모데우스  •,다들 그렇게 말하곤... 나중에 도망가려 하더라.|혹시 모르니 무릎을 부숴 놔야지.,,7,TRUE,,0,,
,,모데우스는 커다란 망치를 꺼냈다. 좋은 꼴은 못 볼 것 같다.,,,,,-1,,
7,•  음란한 악마 모데우스  •,악마 하렘? 불쌍한 멍청이... 악마들이 너를 갈가리 찢어 버릴 텐데` 그걸 놓칠 수 없지.,,,,TRUE,1,,
8,•  피곤한 악마 판데모니카  •,우리가 같이 다니기 시작했으니 저도 할 일을 해야겠네요.,,,,,1,,스테이지 2 조언
,,지옥을 거닐면서 의지를 소모하는 것을 알아차리셨나요?|지옥에서 의지가 바닥나면` 사망합니다.,,,,,0,,
,,가시밭을 지난다면 의지는 2배로 소모되죠.|가시밭을 가능한 한 덜 거치는 것이 핵심입니다.,,,,,0,,
,,지옥 고객센터 서비스를 이용해 주셔서 감사합니다.,,,,,0,,
,,받으신 서비스에 만족도를 1점부터 10점까지 점수를 매기신다면` 몇 점인가요?,,,,,0,,점수 기능 추가 해야함
,,설문 감사 드립니다. 언제든지 이용 바랍니다.,,,,,1,,
,,와... 10점은 처음 받네요...,,,,,1,,
9,•  세 쌍둥이 악마 케르베로스  •,인간이야? 진짜 인간이야? 같이 데려가 줘.,3,,,,0,,스테이지 3 대화
10,•  세 쌍둥이 악마 케르베로스  •,지옥문을 지나기 위해선 인간이 필요해서 그래. 굳이 한 조각일 필요는 없지만.,,11,TRUE,,0,,
,,쌍둥이들이 미친 개마냥 당신에게 달려들었다. 귀여운 강아지 소리와 함께 당신의 심장은 멈췄다.,,,,,-1,,
11,•  세 쌍둥이 악마 케르베로스  •,좋아` 드디어! 인간들을 타락시키러 가자!,,,,TRUE,1,,
12,•  음란한 악마 모데우스  •,조언 말이야? 별 거 없어. 퍼즐들을 싹 다 건너뛰고` 악마 년들을 모아서 본격적으로 하렘 활동을 시작하는 거야.,,,,,0,,스테이지 3 조언
13,•  피곤한 악마 판데모니카  •,이해해 주세요. 악마들은 대부분 저렇죠. 죄악에 대한 욕망이 핏속을 흘러 잘 억제하지 못해요.,,,,,1,,
,,퍼즐에 관해서라면... 언데드 노예들을 걷어차고 다니는데 시간을 낭비하지만 않는다면 괜찮을 거예요.,,,,,1,,
14,•  시큰둥한 악마 말리나  •,대단하네` 또 골 빈 빡대가리들이야...|너같이 못생긴 놈은 처음인데` 지옥에서 뭘 하고 있어?,4,,,,0,,스테이지 4 대화
15,•  시큰둥한 악마 말리나  •,기가 막히네. 마조 새끼나 또 보고.,,15,TRUE,,0,,
,,말리나가 팔을 휘두르자 작살 난 당신 목에서 피가 분수처럼 터져 나왔다.,,,,,-1,,
16,•  시큰둥한 악마 말리나  •,뭐... 게임? 그래` 안 될 게 어디 있어. 턴제 전략 게임이 괜찮다면야.,,,,TRUE,1,,
17,•  피곤한 악마 판데모니카  •,이건 도움이 필요할 것 같진 않은데요.|아니면 그냥 잡담이라도 하고 싶은 건가요?,,,,,0,,스테이지 4 조언
18,•  세 쌍둥이 악마 케르베로스  •,무슨 냄새 안 나? 오렌지` 딸기랑... 보드카?,,,,,1,,
,,확실해. 이거 분명 말리나일 거야.|걘 비싸게 굴긴 해도` 너라면 친해질 수 있을거야.,,,,,2,,
,,그러고 나서 우리 다 같이 재밌게 놀자!,,,,,2,,
19,•  상스러운 악마 즈드라다  •,야. 하렘 꾸린다고 들었는데. 나도 낄래.,5,,,,0,,스테이지 5 대화
20,•  상스러운 악마 즈드라다  •,어우 씨. 그 고통을 끝내줄게.,,20,TRUE,,0,,
,,갈비뼈 사이에 자루 깊숙이 박힌 칼을 끝으로 당신의 시야는 흐려졌다.,,,,,-1,,
21,•  상스러운 악마 즈드라다  •,안 됐지만 그래도 낄 거야. 막을 테면 막아 보던가.,,,,TRUE,1,,
22,•  시큰둥한 악마 말리나  •,뭐야` 리듬 돌죽을 해 본 적이 없어?,,,,,0,,스테이지 5 조언
,,가시밭 타이밍이 안 맞는다면 타이밍 맞을 때까지 옆에 돌덩이나 걷어 차.,,,,,0,,
23,•  세 쌍둥이 악마 케르베로스  •,여기 담배냄새가 진동을 하는데. 근처에 분명 즈드라다가 있어.,,,,,1,,
24,•  시큰둥한 악마 말리나  •,하... 제발...,,,,,2,,
25,•  호기심 많은 천사 아자젤  •,하느님 맙소사! 살아있는 인간이 지옥에서 뭘 하고 있는 거죠? 흔치 않은 일이네요.,6,,,,0,,스테이지 6 대화` 아자젤 아이들
26,•  호기심 많은 천사 아자젤  •,여기선 찾기 힘들거예요. 다행히 제가 좋은 곳을 알고 있죠.|자` 손을 잡으세요.,,26,TRUE,,0,,사망씬 대신 그냥 재시작
,,거짓말 때문에 천국에 가리라고 누가 예상이나 했을까.,,,,,-1,,천사씬
,,악마 하렘과는 영영 이별이지만.,,,,,-1,,
27,•  호기심 많은 천사 아자젤  •,아` 그쪽도요? 혹시` 현대 죄악 관련 논문인가요? 아니면 악마학? 같이 하는 게 좋겠어요.,,,,TRUE,1,,아자젤 땀
28,•  상스러운 악마 즈드라다  •,나한테 힌트 구걸하지 마. 내가 아스퍼거도 아니고.,,,,,0,,스테이지 6 조언
,,차라리 가시로 자살해 봐. 그건 재밌기라도 하겠다.,,,,,0,,즈드 아이들
29,•  시큰둥한 악마 말리나  •,언니는 항상 저래. 네가 왜 초대했는지 모르겠다...,,,,,1,,말리나 아이들
30,•  상스러운 악마 즈드라다  •,그러게. 뭔 생각으로 그랬냐?|그래도 말린카를 끼워 줘서 고맙다 야.,,,,,2,,즈드 웃음
,,쟨 혼자서 듣도 보도 못한 아스퍼거스러운 게임이나 하면서 시간을 때우더라.,,,,,0,,
31,•  시큰둥한 악마 말리나  •,안 닥칠래?,,,,,1,,
32,•  상스러운 악마 즈드라다  •,게임 하면서 쟤가 얼마나 꼴 받아 하는지 알아?,,,,,0,,
 ,•  시큰둥한 악마 말리나  •,우리 둘 중에 하나는 죽여줘. 빨리.,7,,,,3,,말리나 퍼즐
34,•  피곤한 악마 판데모니카  •,뭐 하는 짓이에요? 잠시만! ㅁ-,,35,TRUE,,4,,판데 피곤
,,더 이상 버틸 수가 없었던 당신은 즈드라다 말마따나 가시로 죽음을 택하였다.,,,,,-1,,
35,•  피곤한 악마 판데모니카  •,그냥 냅두세요. 나중엔 익숙해질테니.,,,,,5,,판데 아이들
36,•  끝내주는 악마 저스티스  •,야` 저 퍼즐을 풀었어? 끝내주는데!,8,,,,0,,스테이지 7 대화` 저스 호기실
37,•  끝내주는 악마 저스티스  •,뭘 굳이 물어봐. 난 파티엔 안 빠져.,,38,,TRUE,1,,저스 아이들
38,•  끝내주는 악마 저스티스  •,나라도 그랬겠다.|당연히 가지. 많을수록 즐겁잖아?,,,,TRUE,1,,저스 아이들
39,•  호기심 많은 천사 아자젤  •,이번 건 까다로워 보이네요. 아마 완벽한 풀이를 위해서 여러 번 시도할 필요가 있겠어요.,,,,,0,,스테이지 7 조언
,,그럼` 천천히 하세요. 여기 모데우스 씨가 사랑에 관해 꽤나 뒤틀린 관점을 풀어 주시네요.,,,,,0,,아자젤 아이들
40,•  음란한 악마 모데우스  •,...너무 폭력적으로 변할 수 있으니 적당히 하는 게 중요해. 너무 사랑해 버리면 다들 죽더라고.,,,,,1,,모데 아이들
41,•  호기심 많은 천사 아자젤  •,재밌네요. 자세히 알아보고 싶은데 좀 더 설명 해 주세요.,,,,,2,,아자젤 노트
42,•  지옥의 CEO 루시퍼  •,이제야 만나네. 넌 시련들을 통과하며 가치를 증명했어.,,,,,0,,스테이지 8 대화` 루시 아이들
,,영혼을 바치면 아끼는 종으로 삼아 주마.,9,,,,0,,
43,•  지옥의 CEO 루시퍼  •,절절하고 어린 영혼이로고...,,,TRUE,,0,,
,,당신이 무릎을 꿇자 루시퍼는 당신의 이마에 입을 맞췄다. 당신의 생명은 그대로 녹아내렸다.,,,,,-1,,
44,•  지옥의 CEO 루시퍼  •,뭘 하려는 거지? 악마를 굴복시킬 수 있을 거라고 생각해?,10,,,,1,,루시 분노
45,•  지옥의 CEO 루시퍼  •,네 주제를 가르쳐 줘야겠구나.,,,TRUE,,1,,
,,루시퍼의 손짓에` 당신의 피는 모조리 식초로 변해 버렸다. 참으로 형언하기 어려운 느낌이다.,,,,,-1,,
46,•  지옥의 CEO 루시퍼  •,정말? 그게 다야? 여기까지 와 놓고선` 날 고작 팬케이크로 사려고?,,,,TRUE,1,,
,,내가 펜케이크를 좋아하니 운 좋은 줄 알아라.,,,,,2,,루시 웃음
,,그럼 설득된 것 같네. 어쩌면 네 하렘이라는 게 재밌을 수도 있겠어.,,,,,2,,
47,•  지옥의 CEO 루시퍼  •,못 하겠으면 그냥 일시정지 메뉴로 들어가서 건너뛰어. 이런 곳에서 하루종일 죽치고 싶진 않거든.,,,,,0,,스테이지 9 조언 루시 분노
,,이 난장판 좀 봐. 한동안 아무도 지옥문을 안 쓴 모양이네...,,,,,0,,
,,그보다 네가 여기에 어떻게 들어온 건지 신기해.,,,,,0,,
48,•  끝내주는 악마 저스티스  •,기적이라도 일으키는 것 같잖아. 널 사무실에서 끄집어 내기도 했고.,,,,,3,,저스 아이들
49,•  지옥의 CEO 루시퍼  •,맞아. 처음으로 노예로 들어오길 거부한 놈이지.,,,,,1,,루시 아이들
50,•  끝내주는 악마 저스티스  •,잠깐이나마 오히려 너한테 굴종을 종용했으면 좋겠다고 생각했는데.,,,,,3,,
51,•  지옥의 CEO 루시퍼  •,저스티스... 자살 방법같은 건 알려주지 마.,,,,,2,,루시 행복
52,•  끝내주는 악마 저스티스  •,에이` 너라면 메이드 역할 같은 거 즐길 것 같은데.,,,,,4,,저스 호기실
53,•  지옥의 CEO 루시퍼  •,팬케이크 한 판 더 완성이다.,,,,,1,,루시 팬케잌
,,그리고 차아아암 맛있어...,,,,,2,,루시 먹
,•  헬테이커  •,도와줘서 고마워.,,,,,0,,헬테이커 아이들
,•  지옥의 CEO 루시퍼  •,새삼스럽게. 별 것도 아니었어.,,,,,3,,루시 궁금
,,그나저나 참` 네가 어떻게 매번 얇게 구워내는지 아직도 모르겠어.,,,,,3,,
,,어떻게 팬케이크를 그렇게 공중으로 올려 뒤집는지도 궁금하고. 무슨 마법이라도 쓰는 것 같아.,,,,,3,,
,•  헬테이커  •,경험이지.,,,,,0,,
,•  지옥의 CEO 루시퍼  •,아 그러시겠어. 애들한테 팬케이크나 나눠줘.,,,,,4,,루시 포크
54,•  헬테이커  •,자 팬케이크.,,,,,0,,헬테이커 아이들
,•  음란한 악마 모데우스  •,...,,,,,1,,모데 독서
,•  헬테이커  •,로맨틱 코미디를 읽어?,,,,,0,,
,•  음란한 악마 모데우스  •,로맨스란걸 듣도 보도 못했어. 여지껏 본 것 중에 제일 변태적이야.,,,,,1,,
,,어쩌면 내가 잘못 살아온 게 아닐까?,,,,,1,,
,•  헬테이커  •,뭐` 데이트라도 갈까?,,,,,0,,
,•  음란한 악마 모데우스  •,이런 이상성욕 변태일 줄 알았어.,,,,,2,,모데 부끄럼
55,•  헬테이커  •,자 팬케이크.,,,,,0,,헬테이커 아이들
,•  끝내주는 악마 저스티스  •,끝내주네. 근데 궁금한 게 있는데 말야.,,,,,2,,저스 팬케이크
,•  헬테이커  •,말해 봐.,,,,,0,,
,•  끝내주는 악마 저스티스  •,애들 말로는 네가 선글라스를 절대 안 벗는다던데. 왜 그래?,,,,,2,,
,•  헬테이커  •,나도 너한테 똑같이 묻고 싶은데.,,,,,0,,
,•  끝내주는 악마 저스티스  •,아` 나 말이야? 왜냐면 눈이 멀었거든.,,,,,3,,저스 선글
,,내 얘기는 그럼 됐고. 너는?,,,,,4,,저스 아이들
,•  헬테이커  •,언젠가 다음에...,,,,,1,,헬테이커 땀
,•  끝내주는 악마 저스티스  •,에이. 애들이랑 내기까지 했는데.,,,,,5,,저스 호기심
,,네가 눈에서 레이저 못 쏘면 내 10달러를 잃는다고.,,,,,2,,
56,•  헬테이커  •,자 팬케이크랑 커피.,,,,,0,,헬테이커 아이들
,•  피곤한 악마 판데모니카  •,...,,,,,2,,판데 컵
,,...,,,,,3,,판데 마심
,•  가학적인 악마 판데모니카  •,아! 이제 피곤한 악마는 끝났어.,,,,,4,,가판데 아이들
,•  헬테이커  •,또 너무 진하게 뽑았나?,,,,,0,,
,•  가학적인 악마 판데모니카  •,아니... 딱 적당해. 이번엔 여과도 잘 했고.,,,,,5,,가판데 컵
,,이대로만 한다면 손가락 멀쩡할 날까지 살아 있겠네.,,,,,5,,
,•  헬테이커  •,그래...,,,,,1,,헬테이커 땀
,•  가학적인 악마 판데모니카  •,그렇지만 망치고 싶으면 마음대로 해. 동네 병원이 꽤 용한 것 같던데.,,,,,4,,
,•  헬테이커  •,다음 건 오후 5시 15분에 더블 에스프레소 맞지?,,,,,1,,헬테이커 땀
,•  가학적인 악마 판데모니카  •,기억은 네가 하고 있어야지.,,,,,6,,가판데 마심
57,•  헬테이커  •,자 팬케이크.,,,,,0,,헬테이커 아이들
,•  시큰둥한 악마 말리나  •,할 만한 신작 턴제 게임 찾기가 왜 이렇게 힘들어?,,,,,1,,말리 폰
,,무슨 나오는 것들이 죄다 대충 찍어낸 후속작이나 표절작 투성이야 .,,,,,1,,
,•  헬테이커  •,그래도 난 할 것 같더라.,,,,,0,,
,•  시큰둥한 악마 말리나  •,참 거지같게도` 나도 그렇긴 해.,,,,,2,,말리 프리보틀
,,술이 꽤 필요하겠지만.,,,,,3,,말리 병
58,•  헬테이커  •,자 팬케이크.,,,,,0,,헬테이커 아이들
,•  상스러운 악마 즈드라다  •,좋아. 근데 불 좀 썼으면 하는데.,,,,,1,,즈드 불
,•  헬테이커  •,실내에선 금연이야.,,,,,0,,
,•  상스러운 악마 즈드라다  •,그래서? 벌이라도 주려고? 해 봐` 나 완전 나쁜 여자인데.,,,,,1,,
,•  헬테이커  •,벌을 즐기는 거 아니야?,,,,,0,,
,•  상스러운 악마 즈드라다  •,확 꺼져.,,,,,2,,즈드 정면
59,•  헬테이커  •,자 팬케이크.,,,,,0,,헬테이커 아이들
,•  호기심 많은 천사 아자젤  •,제가 얼마동안 있었죠?,,,,,1,,아자 쇼크
,•  헬테이커  •,몇 주 정도.,,,,,0,,
,•  호기심 많은 천사 아자젤  •,참 오랫동안 지낸 것 같아요.,,,,,1,,
,,내가 본 것들...,,,,,1,,
,,내가 한 것들...,,,,,1,,
,,이걸로 획기적인 논문을 쓸 수는 있겠지만` 아무도 안 믿겠죠. 너무 초현실적이에요.,,,,,1,,
,•  헬테이커  •,아...,,,,,0,,
,•  호기심 많은 천사 아자젤  •,그리고 이건 겉핥기에 불과하죠. 오늘 연구를 같이 하실래요?,,,,,2,,아자 노트
,•  헬테이커  •,연구를 너무 많이 하잖아. 팬케이크나 좀 먹어.,,,,,0,,
60,•  헬테이커  •,자 팬케이크.,,,,,0,,
,•  세 쌍둥이 악마 케르베로스  •,망했어.,,,,,1,,케르 땀
,•  헬테이커  •,또 이웃집에 사고 쳤어? 뭘 했길래?,,,,,0,,
,•  세 쌍둥이 악마 케르베로스  •,...,,,,,1,,
,•  헬테이커  •,경찰은 문 앞에 왜 와 있고?,,,,,0,,
,•  세 쌍둥이 악마 케르베로스  •,...,,,,,1,,
61,•  헬테이커  •,자 팬케이크.,,,,,0,,헬테이커 아이들
,•  고위 기소관 저지먼트  •,침입자가 우리의 영역을 침범하려 한다! 내가 처리할까?,,,,,1,,저지 분노
,•  헬테이커  •,그럴 필요 없어. 내가 할게.,,,,,0,,
,•  고위 기소관 저지먼트  •,그래` 재미나 봐.,,,,,2,,저지 팬케이크
62,•  고위 기소관 저지먼트  •,침입자야` 죄악의 기계가 마음에 드느냐?,,,,,0,,J_introAnim4
,,이만 굴복하고 삼켜져라!,,,,,0,,
,•  세 쌍둥이 악마 케르베로스  •,안 돼` 포기하지 마! 우릴 데리고 나가야지!,,,,,1,,cer_idle
,•  피곤한 악마 판데모니카  •,그리고 커피도 타 주셔야죠.,,,,,2,,pand_flust
,•  고위 기소관 저지먼트  •,희망을 버려라! 저 녀석의 운명은 이미 정해졌다!,,,,,3,,judg_back
,•  지옥의 CEO 루시퍼  •,이런` 저지먼트. 이 녀석은 모르고 있겠지만` 내 거야. 그냥 내버려 둘 수는 없어?,,,,,4,,LH_angry
,•  고위 기소관 저지먼트  •,정숙하라! 이제 진짜 시작이다!,,,,,5,,judg_angry
63,•  고위 기소관 저지먼트  •,너를 이곳으로 이끌었던 것들이 사슬이 되어 너를 휘감지.,,,,,0,,j_laugh2
,,너의 교만` 탐욕` 그리고 욕정. 네 고통은 자초한 거다.,,,,,0,,
,•  지옥의 CEO 루시퍼  •,그만! 고위 기소관` 즉시 물러날 것을 명한다!,,,,,2,,LH_angry
,•  고위 기소관 저지먼트  •,그 어떤 권위도 형벌을 넘어설 수 없다!,,,,,1,,judg_angry
,•  끝내주는 악마 저스티스  •,저지먼트` 계속 해 봐! 잘 나가는데!,,,,,4,,jus_idle
,•  호기심 많은 천사 아자젤  •,그래요` 계속하세요. 이거 분명 A+ 받을 만한 소재예요.,,,,,5,,az_note
,•  지옥의 CEO 루시퍼  •,내가 지옥의 여왕일 텐데! 왜 아무도 말귀를 안 처들어?,,,,,3,,LH_rustled
64,•  고위 기소관 저지먼트  •,진정 사슬을 부수고 빠져나갈 수 있을 것 같느냐?,,,,,6,,j_bindAnim (1)
,,희망은 실망을` 그리고 실망은 절망을 낳는다.,,,,,6,0,j_bindAnim (1) 사슬 추가
,,그리고 절망의 사슬이 가장 즐거운 법이지.,,,,,-1,1,j_bindAnim (9) 애니메이션
,•  상스러운 악마 즈드라다  •,말린카는 재수도 없지. 기껏 찾은 겜스퍼거 친구가 죽게 생겼네.,,,,,0,,z_idle
,•  시큰둥한 악마 말리나  •,내 운수가 이러니 쟤가 네크로폴리스를 하게 됐어.,,,,,1,,mal_puzzled
,•  음란한 악마 모데우스  •,차라리 나 혼자 독차지할 걸...,,,,,2,,mod_idle
,•  고위 기소관 저지먼트  •,그래! 네가 행한 모든 것들을 후회하라!,11,,,,3,,J_introAnim4
65,•  고위 기소관 저지먼트  •,거짓말! 기만으로 네 운명을 벗어날 수는 없다!,12,,,,3,,
66,•  고위 기소관 저지먼트  •,그래? 그렇다면` '고맙다!'라고 해야겠지?,,,,,4,,j_poseAnim (4)
,,이제 다시 시련을 시작한다!,,,,,-1,2,j_flyAnim (1) 애니메이션 추가
67,•  고위 기소관 저지먼트  •,진정한 고통이 시작되기 전에 남길 말이라도 있느냐?,13,,,,0,,J_introAnim4
68,•  고위 기소관 저지먼트  •,값싼 아부는 집어치워! 일을 어렵게 만들지 마!,14,,,,0,,J_introAnim4
69,•  고위 기소관 저지먼트  •,있잖아` 나도 별로 이러고 싶진 않은데. 하지만 이미 계약이 확정됐어. 네 저주를 막을 수 없다고.,,,,,1,,judg_resign
,,그래도... 네가 다시 지옥을 휘젓고 다니지만 않는다면 뒤로 미룰 수는 있겠지.,,,,,1,,judg_resign
,,운명은 이미 정해졌어. 난 너를 죽이고` 넌 시련을 받아야 하지. 하지만 그게 꼭 오늘일 필요야 없어...,,,,,1,,judg_resign
,,그러니 운 좋은 줄 알고 내 눈 앞에서 사라져라!,,,,,0,,J_introAnim4
,,...,,,,,0,,J_introAnim4
,,... ...,,,,,0,,J_introAnim4
,,... ... ...,,,,,0,,J_introAnim4
,,가도 된다고 했잖아! 썩 사라져!,,,,,2,,judg_angry
,,뭐? 네 하렘에 들어오라고? 웃기지 마라!,,,,,0,,J_introAnim4
,,고문으로 널 죽이려는 고통의 화신과 한 지붕 아래서 살겠다고?,15,,,,1,,judg_resign
70,•  고위 기소관 저지먼트  •,뭐` 진심이야?,,,,TRUE,3,,judg_shock
,,이미 제대로 된 의례랑 거리가 먼 마당에` 더 막 나가지 못 할 것도 없겠어.,,,,,3,,judg_shock