ID,Select,LineToMove,etc
1,우리 집에 가면 알 수 있겠지.,2,
,글쎄^ 내가 널 도와줘야겠는데?,3,
2,좋아. 이의 없어.,6,
,시간 없어. 여자애들 모으기 바빠.,7,
3,좋아. 이의 없어.,11,
,너무 쉬워서 의심이 가는데..,10,
4,너랑 같이 놀고 싶은데.,16,
,기분 좋은데. 더 매도해 줘.,15,
5,잠깐만. 나중에 후회할 것 같은 기분인데.,21,
,사실 하렘같은 거 때려치웠어. 턴제 전략 게임이나 할 거야.,20,
6,악마를 찾고 있어.,27,
,천사를 찾고 있어.,26,
7,*둘 다 택한다*,35,
,*죽음을 택한다*,34,
8,푸느라 손 좀 갔지. 하렘에 들어올래?,37,
,메뉴에서 그냥 건너뛰었어. 하렘에 들어올래?,38,
9,네^ 여왕님!,43,
,사양할게^ 내 하렘에 들어와라.,44,
10,주인님이라고 불러라. 그리고 말을 꺼내기 전에 허락을 구해라.,45,
,커피^ 턴제 전략 게임과 초콜렛 팬케이크를 제공할 수 있지.,46,
11,네 헤어 스타일이 마음에 드는데.,125,
,그 옷 끝내주는데! 10점 만점에 10점!,125,
12,알아. 그래서 내가 솔직한 거지.,126,
,그 손톱도 마음에 들어!,126,
13,널 먼저 찾지 않은 게 후회스러워.,128,
,너에게 형벌을 받을 수 있으니 죄악도 좋은 것 같아.,128,
14,그리고 눈이 이렇게 참 예쁘잖아.,129,
,좀 전에 네 헤어스타일이 좋다고 말했었나?,129,
15,다른 건 바라지도 않아.,130,
,내 하렘에 이미 더 나쁜 것도 있어^ 정말로.,130,
16,연다. (게임을 끝낸다),145,
,열지 않는다.,147,